year,mass
601,376.0
860,472.0
1399,107000.0
1490,103.3
1491,127000.0
1575,50000000.0
1583,15000.0
1600,10100000.0
1621,1967.0
1623,10400.0
1628,29000.0
1632,1040.0
1637,17000.0
1668,40.0
1671,4500.0
1688,695.0
1715,7000.0
1716,1700.0
1723,39.0
1724,98000.0
1740,24700.0
1741,14360.0
1749,700000.0
1751,49000.0
1753,10770.0
1766,2000.0
1768,11250.0
1773,4000.0
1775,2900.0
1776,3000000.0
1781,158500.0
1784,2680202.5
1785,3000.0
1787,1500.0
1790,6400.0
1792,1000000.0
1793,136000.0
1794,3700.0
1795,12512.75
1796,3175.0
1797,500000.0
1798,6350.0
1801,220.0
1803,13933.333333333334
1804,263109.3333333333
1805,501310.6666666667
1806,6000.0
1807,107750.0
1808,173309.2
1809,195.0
1810,335976.0
1811,2513.3333333333335
1812,8820.0
1813,25442.5
1814,31305.7
1815,8600.0
1817,0.2
1818,11646283.4
1819,25333.333333333332
1820,5213.0
1821,91000.0
1822,132230.65714285715
1823,1457.0
1824,1666.6666666666667
1825,143640.0
1826,13391.566666666666
1827,3116.6666666666665
1828,313900.0
1829,19442.0
1830,531.0
1831,11875.0
1832,74800.0
1833,470.0
1834,14666.666666666666
1835,2500.0
1836,5229660.0
1837,620730.0
1838,2711.4285714285716
1839,7958.2
1840,51095.885714285716
1841,10875.0
1842,5400.0
1843,4875.0
1844,13977.5
1845,67926.66666666667
1846,39725.71428571428
1847,38436.0
1848,1436.0
1849,8369.1
1850,143025.0
1851,2021.6666666666667
1852,3048823.75
1853,11861.4
1854,980490.8888888889
1855,23349.555555555555
1856,20472.5
1857,20707.0
1858,99977.875
1859,11238.78
1860,41433.36363636364
1861,660244.5
1862,4160.0
1863,1645900.6666666667
1864,133962.5
1865,9010.125
1866,75466.83333333333
1867,201956.875
1868,28354.25
1869,42572.083333333336
1870,39116.666666666664
1871,5037.571428571428
1872,235400.0
1873,47122.0
1874,29346.666666666668
1875,581712.6153846154
1876,20758.88888888889
1877,10237.555555555555
1878,22470.444444444445
1879,42133.57142857143
1880,13009.57142857143
1881,38714.7
1882,525156.0
1883,74656.76999999999
1884,417096.0
1885,30668.571428571428
1886,18797.9
1887,56856.95238095238
1888,26608.466666666667
1889,45811.01333333333
1890,93267.75
1891,3065572.5
1892,23989.727272727272
1893,9824.166666666666
1894,16627.5
1895,8764.6
1896,87308.42
1897,22475.024999999998
1898,1655723.1470588236
1899,28235.928571428572
1900,6139.558823529412
1901,14646.3
1902,1313086.9166666667
1903,123448.85909090909
1904,13381.045454545454
1905,9651.214285714286
1906,33200.838461538464
1907,38405.5
1908,114679.15384615384
1909,236914.27272727274
1910,6647.215789473685
1911,2188196.0818181816
1912,49210.833333333336
1913,68483.81818181818
1914,43764.11111111111
1915,68486.92307692308
1916,20214.275
1917,86573.45
1918,49885.17333333333
1919,22025.235714285714
1920,4303933.714285715
1921,246710.65000000002
1922,119175.33333333333
1923,49740.0
1924,151184.55555555556
1925,22520.688235294117
1926,11894.115384615385
1927,75370.5625
1928,8548.4125
1929,53673.53333333333
1930,935695.1388888889
1931,132861.70588235295
1932,18412.976000000002
1933,21089.766666666666
1934,18380.444444444445
1935,15984.121052631579
1936,10196.322857142857
1937,53533.74423076923
1938,39882.06
1939,17451.95
1940,34505.95675675676
1941,30087.66956521739
1942,42231.445
1943,18362.7
1944,32809.77777777778
1945,25584.47272727273
1946,20404.415384615386
1947,1261147.5789473683
1948,75001.02631578948
1949,18144.545454545456
1950,9755.594736842104
1951,76127.42105263157
1952,52637.464705882354
1953,10972.08888888889
1954,105386.34285714287
1955,23026.08695652174
1956,64513.592307692306
1957,41957.066666666666
1958,540085.5383333333
1959,28211.39375
1960,29040.510714285716
1961,22980.24074074074
1962,15354.877777777778
1963,11858.309090909092
1964,110351.825
1965,21779.451063829787
1966,60791.166666666664
1967,45337.85135135135
1968,46250.45698113207
1969,38012.39710144927
1970,8230.564583333333
1971,14405.15
1972,11132.334375
1973,51818.32666666666
1974,314.92994211287987
1975,1011.6805341246289
1976,148351.70784313726
1977,1308.0071904761905
1978,3010.6476923076925
1979,150.32911330049262
1980,1675.4624000000001
1981,4738.398660907128
1982,631.511773255814
1983,7058.648802228412
1984,2022.6346517412935
1985,713.3656084656085
1986,532.0330276564774
1987,518.6074426229508
1988,213.76131533101045
1989,3495.5148148148146
1990,577.2576862228082
1991,1035.2881828571428
1992,7805.776559139785
1993,171.5926024590164
1994,1055.3724825662484
1995,2295.5856288659793
1996,700.832705061082
1997,677.8511235955057
1998,790.4207307835128
1999,565.0366075874333
2000,3187.079209994385
2001,1062.8693939393938
2002,1184.8563241678728
2003,463.02764068612703
2004,2077.7441907216494
2005,2148.8139359267734
2006,2084.9388391038697
2007,607.1944760302775
2008,1512.933801462905
2009,1522.18792251169
2010,633.5639402985074
2011,1070.8495932678823
2012,992.3832478632478
2013,9471.636363636364
2101,55.0
